epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,457.581,0.62556,0.31946,0.77194,0.87091,0.77647,0.82978,0.63922,0.62363,0.33059,0.75153,2.36474e-05,2.36474e-05,2.36474e-05
2,898.701,0.63381,0.32544,0.77165,0.85989,0.76735,0.82534,0.63303,0.62871,0.33321,0.75203,4.63772e-05,4.63772e-05,4.63772e-05
3,1334.18,0.6324,0.32503,0.77168,0.84592,0.7811,0.82407,0.63593,0.61761,0.32796,0.75159,6.81699e-05,6.81699e-05,6.81699e-05
4,1744.42,0.63762,0.32516,0.77129,0.86814,0.77604,0.8279,0.64222,0.62475,0.33116,0.75152,6.67826e-05,6.67826e-05,6.67826e-05
5,2134.93,0.6365,0.32425,0.77055,0.85435,0.78139,0.83025,0.64673,0.59486,0.31709,0.75084,6.53768e-05,6.53768e-05,6.53768e-05
6,2511.26,0.6319,0.32221,0.77154,0.86159,0.78291,0.82954,0.64345,0.61653,0.32419,0.75168,6.3971e-05,6.3971e-05,6.3971e-05
7,2904.87,0.63175,0.32278,0.77105,0.86504,0.7715,0.82925,0.64685,0.60234,0.32267,0.75101,6.25652e-05,6.25652e-05,6.25652e-05
8,3268.98,0.63541,0.32375,0.77166,0.87091,0.76896,0.83091,0.64734,0.59379,0.32085,0.751,6.11594e-05,6.11594e-05,6.11594e-05
9,3643.2,0.63285,0.32077,0.77143,0.88878,0.76085,0.82963,0.63625,0.6305,0.33007,0.75179,5.97536e-05,5.97536e-05,5.97536e-05
10,4020.88,0.63472,0.32129,0.77137,0.86192,0.77811,0.82953,0.64088,0.60723,0.32364,0.75071,5.83478e-05,5.83478e-05,5.83478e-05
11,4408.94,0.62878,0.31904,0.77016,0.86344,0.78099,0.83247,0.64452,0.61241,0.3236,0.75123,5.6942e-05,5.6942e-05,5.6942e-05
12,4813.89,0.62483,0.31714,0.77119,0.8723,0.77195,0.83128,0.644,0.61296,0.32322,0.7512,5.55362e-05,5.55362e-05,5.55362e-05
13,5205.16,0.62659,0.31747,0.77057,0.84068,0.78778,0.83002,0.63709,0.62477,0.3322,0.75041,5.41304e-05,5.41304e-05,5.41304e-05
14,5584.19,0.62592,0.31619,0.77061,0.87064,0.7757,0.83547,0.64931,0.60177,0.31962,0.75069,5.27246e-05,5.27246e-05,5.27246e-05
15,5965.17,0.62641,0.31533,0.77036,0.86448,0.78203,0.83418,0.64953,0.60994,0.32272,0.75034,5.13188e-05,5.13188e-05,5.13188e-05
