epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2137.82,0.79527,0.75898,0.94746,0.69807,0.69911,0.72859,0.60897,0.646,0.43892,0.91327,2.36588e-05,2.36588e-05,2.36588e-05
2,4302.07,0.62651,0.47441,0.87395,0.75342,0.75628,0.79682,0.6883,0.55097,0.38978,0.88876,4.34211e-05,4.34211e-05,4.34211e-05
3,7898.9,0.5592,0.40232,0.85422,0.77818,0.81896,0.85514,0.75647,0.50463,0.3537,0.87615,5.92784e-05,5.92784e-05,5.92784e-05
4,9502.94,0.52086,0.37173,0.84424,0.84173,0.79474,0.85935,0.77691,0.46379,0.33171,0.86833,5.34275e-05,5.34275e-05,5.34275e-05
5,11071.7,0.49041,0.34609,0.83721,0.83264,0.84102,0.87894,0.80065,0.44978,0.32468,0.86407,4.757e-05,4.757e-05,4.757e-05
6,12513.3,0.47148,0.33026,0.83465,0.84955,0.8235,0.88142,0.81237,0.42032,0.30718,0.85947,4.17125e-05,4.17125e-05,4.17125e-05
7,14546.3,0.4562,0.31843,0.8295,0.86922,0.85701,0.89421,0.82453,0.4139,0.30022,0.8578,3.5855e-05,3.5855e-05,3.5855e-05
8,18272.2,0.44293,0.30524,0.82728,0.87592,0.87927,0.89914,0.83297,0.4041,0.28134,0.85568,2.99975e-05,2.99975e-05,2.99975e-05
9,19486,0.43084,0.29684,0.82608,0.87855,0.86112,0.90335,0.83701,0.40149,0.28794,0.85444,2.414e-05,2.414e-05,2.414e-05
10,20669.6,0.42122,0.28799,0.82219,0.87671,0.8576,0.89818,0.83326,0.39357,0.2841,0.85277,1.82825e-05,1.82825e-05,1.82825e-05
11,21889.8,0.41435,0.28091,0.82071,0.88361,0.87757,0.90547,0.84571,0.3835,0.27841,0.85054,1.2425e-05,1.2425e-05,1.2425e-05
12,23094.5,0.40507,0.2732,0.82046,0.91528,0.8643,0.90791,0.84696,0.37722,0.26831,0.84953,6.5675e-06,6.5675e-06,6.5675e-06
